matricula,marca,modelo,ano,cilindrada
41-EA-47,BMW,R1250GS,2012,900
74-JI-55,Honda,CBR650R,1995,125
64-IY-23,Suzuki,GSX-S750,2024,900
53-XF-22,Kawasaki,Ninja 650,2017,1300
19-RC-32,Suzuki,GSX-S750,2019,125
27-TB-75,Honda,CBR650R,2023,800
92-RV-87,BMW,S1000RR,2020,1000
45-WJ-80,Suzuki,V-Strom 650,2020,1200
13-KY-48,Suzuki,GSX-S750,1996,125
26-PN-62,Suzuki,GSX-S750,2021,900
21-JF-95,Yamaha,R1,1995,900
56-MN-30,Yamaha,R1,2024,125
46-CG-61,Triumph,Tiger 900,2021,500
74-NR-77,Kawasaki,Z900,2021,500
30-LJ-56,KTM,Duke 390,2023,1000
18-FT-58,Yamaha,MT-07,2016,1300
23-KE-15,Suzuki,Hayabusa,2000,900
17-IR-54,Yamaha,Tracer 9,2017,1300
16-WV-97,Kawasaki,Ninja 650,2022,500
51-PA-23,Honda,CBR650R,2014,1000
17-EG-70,Honda,Africa Twin,2019,500
70-YC-10,Suzuki,Hayabusa,2024,800
44-NL-69,Kawasaki,Versys 1000,2012,900
52-OH-11,BMW,F900R,2019,1200
56-QH-66,Kawasaki,Ninja 650,2008,500
93-AQ-51,Honda,CB500,2007,1200
98-JP-93,Yamaha,MT-07,1999,500
14-XM-48,BMW,R1250GS,2005,500
43-WG-71,Suzuki,V-Strom 650,2005,800
30-DU-36,BMW,S1000RR,2012,125
91-TE-82,KTM,1290 Super Duke,2024,900
66-MA-12,BMW,F900R,2022,1000
17-LS-55,BMW,S1000RR,1995,500
57-SH-46,Ducati,Multistrada V4,2019,500
67-US-67,Suzuki,Hayabusa,2009,800
24-IU-85,Triumph,Street Triple,2023,1200
99-LU-80,Kawasaki,Z900,2017,500
34-PI-41,Yamaha,Tracer 9,2003,900
12-KS-68,Triumph,Tiger 900,2009,1000
60-VB-63,Yamaha,Tracer 9,2009,1300
76-OP-87,Yamaha,R1,2011,125
78-XQ-28,Ducati,Monster,2004,300
35-UD-37,Yamaha,Tracer 9,2020,300
68-RH-19,KTM,1290 Super Duke,2005,1300
95-VS-57,Suzuki,Hayabusa,2021,800
46-HE-41,Suzuki,V-Strom 650,2009,125
64-DS-11,Triumph,Tiger 900,2011,650
22-ZJ-90,Honda,CBR650R,1998,1000
97-YK-97,Ducati,Panigale V2,2007,125
35-ZD-65,KTM,Duke 390,2000,1000
